"","NAME_1","age_group","antigen","weighted.sero","weighted.sero.UC","weighted.sero.LC","pop_risk_adm1","pop_risk_UC_adm1","pop_risk_LC_adm1","total_pop"
"58","Kano","0_5","mea",0.764794789979972,0.793712552781013,0.733332874244716,653766.681779805,573388.063341369,741216.92257559,2779558.6744194
"59","Kano","10_15","mea",0.978458629923664,0.982739210865312,0.973132801491119,39782.6612058364,31877.2726088112,49618.4157294116,1846802.73654175
"60","Kano","5_10","mea",0.923449082048479,0.934525658979799,0.910675157301405,173825.709009072,148673.902995466,202831.716845514,2270720.11231995
"61","Katsina","0_5","mea",0.750248991631456,0.785680891916197,0.711314795084941,432743.404793145,371350.574919625,500204.661051866,1732699.32970428
"62","Katsina","10_15","mea",0.978561433872384,0.983446982421124,0.972246195631867,22273.7357404647,17197.8637500486,28834.9930031952,1038956.41191101
"63","Katsina","5_10","mea",0.920738159665876,0.934215066787386,0.90476045489636,106853.495116349,88685.1732199452,128393.161510203,1348107.67282104
"64","Kebbi","0_5","mea",0.725951335954622,0.772078303650331,0.674728304501415,268992.765520189,223716.789996825,319270.787990842,981551.092238307
"65","Kebbi","10_15","mea",0.975756476778859,0.982388918743832,0.966649493286272,14547.3446670504,10567.5427888919,20011.9970830938,600050.765491247
"66","Kebbi","5_10","mea",0.911037383347272,0.929251507912223,0.88864260974067,72814.8374259706,57906.7943742417,91144.6917030938,818488.036499739
"67","Kogi","0_5","mea",0.819913575178815,0.846280255048517,0.790213467756473,163412.291691135,139486.892616369,190362.477537607,907410.382839203
"68","Kogi","10_15","mea",0.975278822652625,0.979856098395275,0.969690521760457,15414.9678203577,12560.7931471058,18899.5704027016,623553.142463684
"69","Kogi","5_10","mea",0.930376374697726,0.941611970230511,0.917173698625624,50393.2050457149,42260.9415067772,59949.2308855797,723794.614643097
"70","Kwara","0_5","mea",0.789298034646971,0.822635739116744,0.751697898990603,127261.973123443,107126.318275037,149972.095667015,603990.441713333
"71","Kwara","10_15","mea",0.974693284525736,0.980172827847418,0.967702986065208,11425.1447966979,8951.31227055852,14581.0332866482,451466.916294098
"72","Kwara","5_10","mea",0.922871551316607,0.936616186260127,0.906389587985004,39279.4938556079,32279.7121534276,47673.3250354566,509273.744333267
"73","Lagos","0_5","mea",0.843162616011156,0.867111794801224,0.815879210246042,275998.401186675,233853.251301603,324011.038088567,1759774.32272339
"74","Lagos","10_15","mea",0.978023040501181,0.982696591304909,0.972102539145176,31199.5480351833,24564.7506782684,39604.5763312486,1419648.06536865
"75","Lagos","5_10","mea",0.939121854653146,0.948804907416928,0.927731808043955,88259.2803325191,74221.0854518444,104772.222882813,1449769.53272247
"76","Nassarawa","0_5","mea",0.811193217224381,0.840123927683786,0.778496576169967,97913.55923172,82910.3438252632,114869.753566985,518591.322792053
"77","Nassarawa","10_15","mea",0.975830976668353,0.980549945871235,0.970000321144975,8254.93641847968,6643.17121820566,10246.3983804744,341550.268920898
"78","Nassarawa","5_10","mea",0.929205901217701,0.941313114962289,0.91483867164102,29006.2909897788,24045.632248562,34892.9404278864,409727.526569366
"79","Niger","0_5","mea",0.781680958098167,0.815917626822295,0.743277017214816,266093.221450342,224364.632898603,312900.995325761,1218827.359869
"80","Niger","10_15","mea",0.976190248248646,0.981348028053811,0.969630292946208,17974.4527667654,14080.7427248689,22926.6928391159,754919.788936615
"81","Niger","5_10","mea",0.92324242172518,0.937154391834874,0.906570218422506,73870.195125633,60481.5503861442,89915.2416060376,962383.086933136
"82","Ogun","0_5","mea",0.828227601726684,0.854174493343101,0.798782337947226,128552.592548691,109134.221381962,150589.107350717,748389.111643791
"83","Ogun","10_15","mea",0.976408853295614,0.981419377435174,0.970051579662146,15229.9808434756,11995.2848951396,19334.1118069968,645580.354118347
"84","Ogun","5_10","mea",0.933684042442383,0.944300952529202,0.921162276085576,44679.8882643139,37526.8232425323,53116.3361766866,673742.639175415
"85","Ondo","0_5","mea",0.826540395609981,0.852445771084175,0.797239920846756,111727.393692341,95041.4333240396,130600.177881809,644111.890403748
"86","Ondo","10_15","mea",0.975678489646626,0.980394405792854,0.969856285143836,16496.869667183,13298.1433999675,20445.9726407524,678283.109375
"87","Ondo","5_10","mea",0.932373948960643,0.943344870321657,0.919463287066488,44751.3163990811,37491.3453454637,53294.904357672,661746.704284668
"88","Osun","0_5","mea",0.804420117489809,0.831193546891229,0.774649847092296,120482.559102325,103989.394013833,138821.86024427,616027.362098694
"89","Osun","10_15","mea",0.974142885543432,0.979101991431275,0.968036290354431,17739.4881827532,14337.2523902724,21928.9685431431,686058.307571411
"90","Osun","5_10","mea",0.925393030328986,0.936632422022601,0.912349320859832,48990.870972597,41610.4936338525,57556.0585204255,656652.738861084
"91","Oyo","0_5","mea",0.79336257024802,0.82443909600901,0.758483943670604,222344.620123822,188905.865473279,259874.485773547,1076013.28757668
"92","Oyo","10_15","mea",0.973278368179181,0.979053716885136,0.965916135731146,29052.2808495665,22773.2087579111,37056.6439885514,1087219.56220245
"93","Oyo","5_10","mea",0.921592375620024,0.934735279038995,0.905996130657138,85104.3199326547,70838.8978355437,102032.620357078,1085408.72913361
