"","GID_2","NAME_2","age_group","antigen","weighted.sero","weighted.sero.UC","weighted.sero.LC","pop_risk_adm2","pop_risk_UC_adm2","pop_risk_LC_adm2","total_pop"
"2311","NGA.20.26_1","Kunchi","10_15","dip",0.85407961723348,0.87110550484313,0.835216499393397,3689.27155880435,3258.8099486386,4166.18343936831,25282.7705688477
"2312","NGA.20.27_1","Kura","0_5","mea",0.767171283619527,0.795433742380493,0.736438743087859,6432.32566589707,5651.52275766626,7281.36917012286,27626.8570556641
"2313","NGA.20.27_1","Kura","5_10","mea",0.924008867783665,0.93483548750033,0.911552542226222,1748.0411197981,1498.99394940894,2034.57678048567,23003.2250976562
"2314","NGA.20.27_1","Kura","10_15","mea",0.978500989014998,0.982697709128618,0.973302882041909,419.020075337946,337.225150938489,520.332232301721,19490.2023925781
"2315","NGA.20.27_1","Kura","0_5","dip",0.575125245313501,0.608604557419439,0.540987870872731,11737.9541142842,10813.0259444115,12681.0624782151,27626.8570556641
"2316","NGA.20.27_1","Kura","5_10","dip",0.729914921613219,0.754317853193778,0.704051351503272,6212.82785364925,5651.48172545897,6807.77337871739,23003.2250976562
"2317","NGA.20.27_1","Kura","10_15","dip",0.843852994741323,0.861195797151405,0.824777977950308,3043.33673548658,2705.32200645959,3415.11267338528,19490.2023925781
"2318","NGA.20.28_1","Madobi","0_5","mea",0.766122460934776,0.794380817914055,0.735416664492155,12097.6422573787,10635.9392871705,13685.9424510417,51726.3962402344
"2319","NGA.20.28_1","Madobi","5_10","mea",0.923879248814587,0.93469105211245,0.911445289670772,3121.49382798417,2678.13276364768,3631.37485412232,41007.1337890625
"2320","NGA.20.28_1","Madobi","10_15","mea",0.978551318305433,0.982751596397333,0.973344352751621,706.583266502286,568.213633503168,878.116173837538,32942.9694824219
"2321","NGA.20.28_1","Madobi","0_5","dip",0.574417837338549,0.607676841687125,0.540517926793623,22013.8315786021,20293.463141112,23767.3517839575,51726.3962402344
"2322","NGA.20.28_1","Madobi","5_10","dip",0.730055920751745,0.754217953756284,0.704461359551551,11069.6329732985,10078.8172532656,12119.1925687072,41007.1337890625
"2323","NGA.20.28_1","Madobi","10_15","dip",0.844440330699078,0.861631272559039,0.825539171873434,5124.59743847591,4558.27676540913,5747.25773685152,32942.9694824219
"2324","NGA.20.29_1","Makoda","0_5","mea",0.757841768376649,0.788235450220506,0.72478430047836,16247.9779172072,14208.6672230751,18466.019421762,67096.5335693359
"2325","NGA.20.29_1","Makoda","5_10","mea",0.922936310287225,0.934434058924563,0.909611286136488,4088.90364860776,3478.84738827027,4795.91287786742,53058.7578125
"2326","NGA.20.29_1","Makoda","10_15","mea",0.978979661869757,0.983392093199631,0.973411080047502,825.97754914815,652.594552497397,1044.79056429938,39294.2084960938
"2327","NGA.20.29_1","Makoda","0_5","dip",0.580031948580789,0.614308101940593,0.54502074968885,28178.4004600977,25878.5893855639,30527.5305418534,67096.5335693359
"2328","NGA.20.29_1","Makoda","5_10","dip",0.740322160491829,0.764651402213003,0.714427155809894,13778.1835957373,12487.3042514917,15152.1403777096,53058.7578125
"2329","NGA.20.29_1","Makoda","10_15","dip",0.855004226040417,0.872068952132615,0.836078879190856,5697.49417302035,5026.94926802477,6441.15069798788,39294.2084960938
"2330","NGA.20.30_1","Minjibir","0_5","mea",0.761294651953632,0.790435101837629,0.729646858607246,14742.7951375141,12943.0378787394,16697.409634754,61761.4781494141
"2331","NGA.20.30_1","Minjibir","5_10","mea",0.92313851364885,0.9342253346127,0.910358067031371,3774.08332731263,3229.69382694047,4401.63390933328,49102.3984375
"2332","NGA.20.30_1","Minjibir","10_15","mea",0.978689081981854,0.982999182106935,0.973302222782644,751.395602271779,599.427006804475,941.329339940779,35258.7158203125
"2333","NGA.20.30_1","Minjibir","0_5","dip",0.578304023579168,0.611805077742945,0.544117648349931,26044.566833411,23975.4922086926,28155.9679001393,61761.4781494141
"2334","NGA.20.30_1","Minjibir","5_10","dip",0.736175070087073,0.760129129863482,0.710750909422061,12954.4368263301,11778.2350389931,14202.8240932425,49102.3984375
"2335","NGA.20.30_1","Minjibir","10_15","dip",0.850447615420779,0.867375691337715,0.831769069157013,5273.02502812882,4676.16280998892,5931.60658277951,35258.7158203125
"2336","NGA.20.31_1","Nassaraw",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2337","NGA.20.32_1","Rano","0_5","mea",0.7720762637504,0.800217405847961,0.74138373656853,9011.70324419396,7899.0520315173,10225.2317310843,39538.2393798828
"2338","NGA.20.32_1","Rano","5_10","mea",0.924635843541092,0.935488988476392,0.912130010474477,2419.25601914842,2070.86047615933,2820.70431157863,32100.8836669922
"2339","NGA.20.32_1","Rano","10_15","mea",0.978276240511198,0.982450110648252,0.973127706692119,506.924463340075,409.527100771768,627.065626961858,23335.0246582031
"2340","NGA.20.32_1","Rano","0_5","dip",0.58210716187616,0.616013660283329,0.54744762563146,16522.747068879,15182.1438183227,17893.1241097177,39538.2393798828
"2341","NGA.20.32_1","Rano","5_10","dip",0.732220716005672,0.757183790795748,0.705701278638458,8595.9516439324,7794.61488412572,9447.24901777142,32100.8836669922
"2342","NGA.20.32_1","Rano","10_15","dip",0.843146809667561,0.860836527912805,0.823665198401568,3660.1730641253,3247.38305267585,4114.77694339877,23335.0246582031
"2343","NGA.20.33_1","RiminGad","0_5","mea",0.764558812836758,0.792689240841529,0.734036067959441,8180.44945778611,7203.05231121393,9240.96811550369,34745.1928710938
"2344","NGA.20.33_1","RiminGad","5_10","mea",0.923675374171539,0.934425463055398,0.911327084400084,2264.39329709256,1945.46046319347,2630.74143552803,29667.9252929688
"2345","NGA.20.33_1","RiminGad","10_15","mea",0.978619203271341,0.98281364316416,0.973416526056927,496.204329896871,398.860004391948,616.947770546479,23207.9438476562
"2346","NGA.20.33_1","RiminGad","0_5","dip",0.572918646663157,0.605596005469428,0.539639624156165,14839.0239933364,13703.6428590945,15995.3100489032,34745.1928710938
"2347","NGA.20.33_1","RiminGad","5_10","dip",0.729844136538989,0.753457518785336,0.704866352731543,8014.96397461874,7314.4039142198,8756.00299860198,29667.9252929688
"2348","NGA.20.33_1","RiminGad","10_15","dip",0.844957672873976,0.861828851772545,0.826433304312853,3598.21362195071,3206.66824942897,4028.12612733056,23207.9438476562
"2349","NGA.20.34_1","Rogo","0_5","mea",0.765542359136554,0.79588809387543,0.732348237102468,16696.8549083952,14535.7893608716,19060.7677984745,71214.8038635254
"2350","NGA.20.34_1","Rogo","5_10","mea",0.92277603408555,0.934552932196996,0.909089656339002,4512.88243579237,3824.65364559868,5312.699086111,58438.8846435547
"2351","NGA.20.34_1","Rogo","10_15","mea",0.977946197077809,0.982362989021087,0.972445381719378,886.289298054646,708.789052637944,1107.35383735215,40187.594909668
"2352","NGA.20.34_1","Rogo","0_5","dip",0.58417262774849,0.62092093982077,0.546506326840417,29613.0647559765,26996.0409194334,32295.4629874094,71214.8038635254
"2353","NGA.20.34_1","Rogo","5_10","dip",0.735492852234935,0.762636650485208,0.706452491968868,15457.5026956383,13871.2494009027,17154.5889592342,58438.8846435547
"2354","NGA.20.34_1","Rogo","10_15","dip",0.846458206340782,0.865385573306627,0.825402456305182,6170.4754052805,5409.83004895047,7016.6553582304,40187.594909668
"2355","NGA.20.35_1","Shanono","0_5","mea",0.759410743127582,0.788345531810892,0.728040303485425,7750.71970270003,6818.56903372764,8761.33625215702,32215.568572998
"2356","NGA.20.35_1","Shanono","5_10","mea",0.922584489170766,0.93364977220451,0.909847318885703,1917.84049434632,1643.7165151049,2233.38269893065,24773.3364257812
"2357","NGA.20.35_1","Shanono","10_15","mea",0.978584016557134,0.98288901896404,0.973211703522829,395.948719719904,316.355821455239,495.274556123461,18488.4677734375
"2358","NGA.20.35_1","Shanono","0_5","dip",0.572387648252399,0.605638436346472,0.538520474850993,13775.7750403858,12704.581996435,14866.8252874724,32215.568572998
