"","GID_1","NAME_1","weighted.sero_0_5_mea","weighted.sero_10_15_mea","weighted.sero_5_10_mea","weighted.sero_0_5_dip","weighted.sero_10_15_dip","weighted.sero_5_10_dip","weighted.sero.UC_0_5_mea","weighted.sero.UC_10_15_mea","weighted.sero.UC_5_10_mea","weighted.sero.UC_0_5_dip","weighted.sero.UC_10_15_dip","weighted.sero.UC_5_10_dip","weighted.sero.LC_0_5_mea","weighted.sero.LC_10_15_mea","weighted.sero.LC_5_10_mea","weighted.sero.LC_0_5_dip","weighted.sero.LC_10_15_dip","weighted.sero.LC_5_10_dip","pop_risk_adm1_0_5_mea","pop_risk_adm1_10_15_mea","pop_risk_adm1_5_10_mea","pop_risk_adm1_0_5_dip","pop_risk_adm1_10_15_dip","pop_risk_adm1_5_10_dip","pop_risk_UC_adm1_0_5_mea","pop_risk_UC_adm1_10_15_mea","pop_risk_UC_adm1_5_10_mea","pop_risk_UC_adm1_0_5_dip","pop_risk_UC_adm1_10_15_dip","pop_risk_UC_adm1_5_10_dip","pop_risk_LC_adm1_0_5_mea","pop_risk_LC_adm1_10_15_mea","pop_risk_LC_adm1_5_10_mea","pop_risk_LC_adm1_0_5_dip","pop_risk_LC_adm1_10_15_dip","pop_risk_LC_adm1_5_10_dip","total_pop_0_5_mea","total_pop_10_15_mea","total_pop_5_10_mea","total_pop_0_5_dip","total_pop_10_15_dip","total_pop_5_10_dip"
"21","NGA.21_1","Katsina",0.750248991631456,0.978561433872384,0.920738159665876,0.588398412612396,0.861180702991643,0.748443011217917,0.785680891916197,0.983446982421124,0.934215066787386,0.629884739750691,0.881133247078604,0.778189381902023,0.711314795084941,0.972246195631867,0.90476045489636,0.545657873367697,0.838442631141643,0.716135542182886,432743.404793145,22273.7357404647,106853.495116349,713181.79457172,144227.198723812,339125.906728884,371350.574919625,17197.8637500486,88685.1732199452,641298.463347304,123497.375110726,299024.596171061,500204.661051866,28834.9930031952,128393.161510203,787238.29827221,167851.064266862,382679.853624437,1732699.32970428,1038956.41191101,1348107.67282104,1732699.32970428,1038956.41191101,1348107.67282104
"22","NGA.22_1","Kebbi",0.725951335954622,0.975756476778859,0.911037383347272,0.709133743681504,0.91299217769792,0.834991828869652,0.772078303650331,0.982388918743832,0.929251507912223,0.756423950368237,0.931108520089427,0.864885832316798,0.674728304501415,0.966649493286272,0.88864260974067,0.656818176337731,0.8905976120754,0.799937010733811,268992.765520189,14547.3446670504,72814.8374259706,285500.091584687,52209.1103760895,135057.213994892,223716.789996825,10567.5427888919,57906.7943742417,239082.337559149,41338.3852561643,110589.32981032,319270.787990842,20011.9970830938,91144.6917030938,336850.493852034,65646.9866207268,163749.163260751,981551.092238307,600050.765491247,818488.036499739,981551.092238307,600050.765491247,818488.036499739
"23","NGA.23_1","Kogi",0.819913575178815,0.975278822652625,0.930376374697726,0.845091989167087,0.93449389129285,0.898155137927024,0.846280255048517,0.979856098395275,0.941611970230511,0.871101043618219,0.946375285364658,0.915869125858262,0.790213467756473,0.969690521760457,0.917173698625624,0.81495688255068,0.920195260763919,0.87720691780018,163412.291691135,15414.9678203577,50393.2050457149,140565.137414753,40846.5399349111,73714.7626974889,139486.892616369,12560.7931471058,42260.9415067772,116964.251357966,33437.8593245856,60893.4736290064,190362.477537607,18899.5704027016,59949.2308855797,167910.046046447,49762.4959341532,88876.9716116567,907410.382839203,623553.142463684,723794.614643097,907410.382839203,623553.142463684,723794.614643097
"24","NGA.24_1","Kwara",0.789298034646971,0.974693284525736,0.922871551316607,0.787683226925289,0.918365983231558,0.865907793645417,0.822635739116744,0.980172827847418,0.936616186260127,0.823105930413191,0.933661442371805,0.889459070700838,0.751697898990603,0.967702986065208,0.906389587985004,0.747309978511006,0.899832905085414,0.838159320450158,127261.973123443,11425.1447966979,39279.4938556079,128237.301552544,36855.057815149,68289.6400161074,107126.318275037,8951.31227055852,32279.7121534276,106842.327226206,29949.6640437996,56295.5929662632,149972.095667015,14581.0332866482,47673.3250354566,152622.357695689,45222.1294552264,82421.2088597883,603990.441713333,451466.916294098,509273.744333267,603990.441713333,451466.916294098,509273.744333267
"25","NGA.25_1","Lagos",0.843162616011156,0.978023040501181,0.939121854653146,0.699372189142336,0.851983284059612,0.785439334766246,0.867111794801224,0.982696591304909,0.948804907416928,0.728281595123714,0.868105883640497,0.805738376108275,0.815879210246042,0.972102539145176,0.927731808043955,0.668785793022831,0.834225688483459,0.763608424204553,275998.401186675,31199.5480351833,88259.2803325191,529037.102243861,210131.644426993,311063.515376563,233853.251301603,24564.7506782684,74221.0854518444,478163.071912646,187243.227123276,281634.583695415,324011.038088567,39604.5763312486,104772.222882813,582862.256759613,235341.180632278,342713.304380495,1759774.32272339,1419648.06536865,1449769.53272247,1759774.32272339,1419648.06536865,1449769.53272247
"26","NGA.26_1","Nassarawa",0.811193217224381,0.975830976668353,0.929205901217701,0.855734785137699,0.944017378770949,0.909059979986734,0.840123927683786,0.980549945871235,0.941313114962289,0.88162860492314,0.954924043580815,0.926039060208274,0.778496576169967,0.970000321144975,0.91483867164102,0.825289859279795,0.930654970149911,0.888642152713853,97913.55923172,8254.93641847968,29006.2909897788,74814.6886083206,19120.879335679,37260.6294662041,82910.3438252632,6643.17121820566,24045.632248562,61386.3783536498,15395.7050368394,30303.8329236098,114869.753566985,10246.3983804744,34892.9404278864,90603.1629812769,23684.8135936256,45626.3753326423,518591.322792053,341550.268920898,409727.526569366,518591.322792053,341550.268920898,409727.526569366
"27","NGA.27_1","Niger",0.781680958098167,0.976190248248646,0.92324242172518,0.758296437186404,0.913226107983798,0.851346725658935,0.815917626822295,0.981348028053811,0.937154391834874,0.79606824631401,0.929256277346509,0.876596209670125,0.743277017214816,0.969630292946208,0.906570218422506,0.716104839553824,0.893970590487502,0.821999671130224,266093.221450342,17974.4527667654,73870.195125633,294594.915335027,65507.3282460796,143061.397043072,224364.632898603,14080.7427248689,60481.5503861442,248557.600938552,53405.8361741643,118761.720676914,312900.995325761,22926.6928391159,89915.2416060376,346019.1888862,80043.6994502486,171304.505972808,1218827.359869,754919.788936615,962383.086933136,1218827.359869,754919.788936615,962383.086933136
"28","NGA.28_1","Ogun",0.828227601726684,0.976408853295614,0.933684042442383,0.730837248810929,0.875177094629892,0.813626958801199,0.854174493343101,0.981419377435174,0.944300952529202,0.762865706917913,0.892040215792934,0.836236064597216,0.798782337947226,0.970051579662146,0.921162276085576,0.696100211990689,0.855970928060302,0.788528348078981,128552.592548691,15229.9808434756,44679.8882643139,201438.472249988,80583.2154509153,125567.464648429,109134.221381962,11995.2848951396,37526.8232425323,177468.722939982,69696.7157189379,110334.746040024,150589.107350717,19334.1118069968,53116.3361766866,227435.292377025,92982.3392661672,142477.468876052,748389.111643791,645580.354118347,673742.639175415,748389.111643791,645580.354118347,673742.639175415
"29","NGA.29_1","Ondo",0.826540395609981,0.975678489646626,0.932373948960643,0.845986513795243,0.932850105823468,0.897228104623297,0.852445771084175,0.980394405792854,0.943344870321657,0.871531373182842,0.944813948326354,0.914723792339399,0.797239920846756,0.969856285143836,0.919463287066488,0.816445526089659,0.91851633352361,0.876631007806515,111727.393692341,16496.869667183,44751.3163990811,99201.9177470172,45546.6390162602,68008.9630586221,95041.4333240396,13298.1433999675,37491.3453454637,82748.170076773,37431.7667233301,56431.2493732975,130600.177881809,20445.9726407524,53294.904357672,118229.619182455,55268.9946608815,81639.0239949598,644111.890403748,678283.109375,661746.704284668,644111.890403748,678283.109375,661746.704284668
"30","NGA.30_1","Osun",0.804420117489809,0.974142885543432,0.925393030328986,0.812690346960096,0.922130487552612,0.877506804551616,0.831193546891229,0.979101991431275,0.936632422022601,0.838855940702304,0.934061271463096,0.895048721267123,0.774649847092296,0.968036290354431,0.912349320859832,0.783384105113742,0.908248245759741,0.857497523920664,120482.559102325,17739.4881827532,48990.870972597,115387.871457793,53423.0259210662,80435.4922830272,103989.394013833,14337.2523902724,41610.4936338525,99269.1497670354,45237.8125034393,68916.5446269164,138821.86024427,21928.9685431431,57556.0585204255,133441.318315429,62947.0532307803,93574.6412119819,616027.362098694,686058.307571411,656652.738861084,616027.362098694,686058.307571411,656652.738861084
